A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,atletas.apelido,atletas.atleta_id,atletas.clube.id.full.name,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.status_id,atletas.variacao_num,home_team,id_team,id_adv_team,adv_team_name,off_own_team,def_own_team,off_adv_team,def_adv_team,score_index,take_goal_index,CA_sum_last5,CV_sum_last5,DD_sum_last5,DP_sum_last5,FC_sum_last5,GC_sum_last5,GS_sum_last5,RB_sum_last5,SG_sum_last5,A_sum_last5,FD_sum_last5,FF_sum_last5,FS_sum_last5,FT_sum_last5,G_sum_last5,I_sum_last5,PE_sum_last5,PP_sum_last5,atletas.pontos_num_sum_last5,atletas.media_num_sum_last5,CA_last1,CV_last1,DD_last1,DP_last1,FC_last1,GC_last1,GS_last1,RB_last1,SG_last1,A_last1,FD_last1,FF_last1,FS_last1,FT_last1,G_last1,I_last1,PE_last1,PP_last1,atletas.pontos_num_last1,atletas.media_num_last1
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,Otero,83004,Atlético-MG,16.5,Rómulo Otero Vásquez,16.5,mei,14.81,1,Provável,9.81,0.0,1,18,Vasco,1.6,1.0,1.3,1.2,1.92,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,Diego,38909,Flamengo,0.8,Diego Ribas da Cunha,0.8,mei,10.89,1,Provável,-4.11,0.0,9,19,Vitória,1.6,0.9,1.2,1.3,2.08,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,Rodriguinho,61033,Corinthians,16.5,Rodrigo Eduardo Costa Marinho,16.5,mei,23.08,1,Provável,6.08,1.0,7,10,Fluminense,1.2,0.9,1.3,1.0,1.2,1.1700000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,Rafael Moura,37655,América-MG,5.1,Rafael Martiniano de Miranda Moura,5.1,ata,10.4,1,Provável,0.4,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Gerson Magrão,50401,América-MG,1.2,Gerson Alencar de Lima Junior,1.2,mei,4.27,1,Nulo,-0.73,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Rafael Lima,50361,América-MG,6.2,Rafael Ramos de Lima,6.2,zag,8.4,1,Provável,2.4,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wesley,50421,América-MG,-0.5,Wesley Lopes Beltrame,-0.5,mei,3.1,1,Nulo,-1.9,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Carlinhos,63194,América-MG,15.9,Carlos Emiliano Pereira,15.9,lat,14.4,1,Provável,9.4,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,Luan,60834,América-MG,11.7,Luan Michel de Louzã,11.7,ata,12.88,1,Provável,5.88,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enderson Moreira,62137,América-MG,10.05,Enderson Alves Moreira,10.05,tec,8.99,1,Provável,5.99,1.0,0,17,Sport,1.0,1.2,1.5,0.8,0.8,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
